id,display_name,package_name,type,uri,summary,source_code
"SAPLMGMM_SCREEN_0079","SAPLMGMM_SCREEN_0079","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_0082","SAPLMGMM_SCREEN_0082","SAPLMGMM","SCREEN","","",""
"036d19df-6926-4906-8622-1927c008e53e","SET_OTHER_MATERIAL_DATA_BILD","MGA","FUGR/FF","/sap/bc/adt/functions/groups/mgin/fmodules/set_other_material_data_bild","",""
"89b07412-2949-42df-9188-bbfe94748d05","MPN03_MARA_READ_IMATN","AD_MPN_MD_MPN_AND_IC","FUGR/FF","/sap/bc/adt/functions/groups/mpn03/fmodules/mpn03_mara_read_imatn","",""
"13bdf8c6-319e-422e-ae02-cf4e2028a6c0","LMGMMO0H","MGA","FUGR/I","/sap/bc/adt/functions/groups/mgmm/includes/lmgmmo0h","",""
"SAPLMGMM_SCREEN_0551","SAPLMGMM_SCREEN_0551","SAPLMGMM","SCREEN","","",""
"0e715237-49e8-4986-96a7-915fe167afb6","MSLB","MBND_PUBLIC","TABL/DT","/sap/bc/adt/ddic/tables/mslb","",""
"60a642ca-415e-480b-80b3-f7c041026306","LMGMMF1A","MGA","FUGR/I","/sap/bc/adt/functions/groups/mgmm/includes/lmgmmf1a","",""
"86db1370-f657-44a7-a856-d160ee6819a8","SDPRCOMHEAD_INCL_EEW_PS","ERP_SD_EXT","TABL/DS","/sap/bc/adt/ddic/structures/sdprcomhead_incl_eew_ps","",""
"8c13a96d-fc20-4a23-ad0d-6520118da882","PROGM","MCP2","TABL/DS","/sap/bc/adt/ddic/structures/progm","",""
"SAPLMGMM_SCREEN_0600","SAPLMGMM_SCREEN_0600","SAPLMGMM","SCREEN","","",""
"1d020066-97d9-4fb0-bdd4-934c21745271","MSKA","MBND_PUBLIC","TABL/DT","/sap/bc/adt/ddic/tables/mska","",""
"1d65144e-e48c-4a6e-b520-61cd34bf1559","LMGMMF2Z","MGA","FUGR/I","/sap/bc/adt/functions/groups/mgmm/includes/lmgmmf2z","",""
"60d09ddd-ffee-423c-a5cd-e0e0fb6b6993","CKWB_SEIBAN_DATA_GET","CKWB","FUGR/FF","/sap/bc/adt/functions/groups/ckwb/fmodules/ckwb_seiban_data_get","",""
"8c5d3f66-fa69-46ea-8e30-97b05ba8556b","DWINACTIV","SEU","TABL/DT","/sap/bc/adt/ddic/tables/dwinactiv","",""
