"abap_program_id","related_abap_program_id","relation_type"
"bc8438c9-e23f-4603-b184-e9172f21f5f2","d8faaad3-5935-4db8-8d38-9cc7c90ab098","Function Calls"
"ac1d573f-6625-4ced-980e-990a52bce5ff","06dd863e-16e5-40b0-ad0f-a171b2a5e6be","Database Tables"
"9b74222a-56e1-428f-b225-63d0122729ab","0bbdd689-b031-4a67-a1b3-f9bff7a4b634","Database Tables"
"SAPLMGMM_SCREEN_4000","3e839b8a-b790-4b34-80aa-b933a4278b35","MODULE"
"SAPLMGMM_SCREEN_4104","3e839b8a-b790-4b34-80aa-b933a4278b35","MODULE"
"c3b730a4-6368-4d2a-ac3b-8c56e810f648","4e60d676-6657-4e91-9520-e2cbbca9fb72","Database Tables"
"2025f938-db59-457f-a3a0-b6cafd13d9d0","6fa66aee-4b7f-4929-86f5-28ec45725673","Database Tables"
"c45cccf9-69c2-4b09-93c9-18fe2fe1e5be","f997b47c-45d8-476b-93d8-4eeea2674107","Function Calls"
"SAPLMGMM_SCREEN_4020","8ae6d4e8-3bcd-4bf3-b830-d56aaad85fc2","MODULE"
"67b51367-5a9b-45a9-9db2-8b5d28858e31","53c36b39-96d6-4ae0-ae09-180e653cb2a9","Database Tables"
"eb3834da-a19b-4355-a075-5cf76a26cdaa","03c3c7d0-85c1-4ebc-bd84-b07e46cfea43","Function Calls"
"a2056897-8e48-4e2d-9189-44b764af6f1a","bce4f4d5-19cc-490a-9b9a-bfee14f6b29f","Database Tables"
"1cc52ba4-19ce-4cbe-8eb0-4cba2b486565","6722cad6-90d3-4863-b34f-c5f55f452023","Database Tables"
"cf83cbcb-1b29-4fe8-aa1b-141337b3c697","8976118d-5159-4f46-9222-b844f875a45f","Function Calls"
"e7646477-e530-4518-8901-fa878ae9cc78","3345bb88-884f-42a5-947f-6a6f46beda90","Function Calls"
"SAPLMGMM_SCREEN_0079","8ae6d4e8-3bcd-4bf3-b830-d56aaad85fc2","MODULE"
"35c674c1-d548-480a-981c-7c32d78ead45","8e8fe446-00f8-4212-b844-35c71d98eb71","Includes"
"f0a6196a-88a7-4a9d-a75e-8628a83b94ea","0410001c-037a-4a18-aa39-197e559f9e8f","Database Tables"
"SAPLMGMM_SCREEN_3003","8c8bf5e3-3e14-4794-bfb3-e270ff06ec2c","MODULE"
"bda68b15-5045-4aa2-952d-f3b6f2855c17","a01f41e2-5b26-42f0-a37c-209cdf6500d3","Database Tables"
"367b1e08-21b7-49e4-9cf9-23ca15dce973","6d6623f8-9994-4a26-865e-f803431bfc13","Function Calls"
"61792444-a7b0-4033-a664-2e4e5e1602b5","2245f2b6-8a45-4efa-b50c-efc18643dbfd","Database Tables"
"0bd7d404-167f-4e8c-8f29-3574b4f954ff","9a3d6977-9e06-4846-8770-ce7e2caccd6e","Database Tables"
"d108bc01-ad6b-4572-9649-991baaf0af89","210cbcb7-a1a3-44e5-9c4a-f659d33e5328","Database Tables"
"SAPLMGMM_SCREEN_5004","3e839b8a-b790-4b34-80aa-b933a4278b35","MODULE"
"be631328-9ceb-4764-b223-9ff91f2f4f56","6649641c-54fe-4d73-9c40-2b6746681708","Database Tables"
"ac1d573f-6625-4ced-980e-990a52bce5ff","0408b05d-985d-4151-889e-f923429bd795","Database Tables"
"c5cb493e-3643-41ca-9426-0413f7fbc3b3","0623aa68-0c67-40fb-9ad3-5c5018d6ee41","Database Tables"
"9fd2db9c-3693-4e0a-a8b1-204820bc9bed","6896c5cb-f8b9-4e8c-acf3-53adb8548788","Database Tables"
"2569ec5c-18d6-4423-ad78-1f03a6f19fff","dca44f16-38a7-46cb-b281-25b759a56c0d","Database Tables"
"03592f88-d228-4d15-a8ee-f38ec3d4bee3","c39122c9-89f1-4462-ae88-327bcbe501fd","Includes"
"6ab56327-25cc-4425-b18c-02d5676038a1","271ad2c9-e368-410c-933c-d30d49023294","Function Calls"
"SAPLMGMM_SCREEN_5000","8d9f009b-efcf-4145-a68b-4aba1775f80d","MODULE"
"22f9de3d-a882-4d2f-bba9-5e23c6782839","49192c44-c376-4332-9b26-2eac6bccec29","Function Calls"
"c5cb493e-3643-41ca-9426-0413f7fbc3b3","3d28ea3b-1e18-4d7d-95b8-fb91754dad80","Includes"
"5d8945eb-ae80-46a3-b911-3c7f837647d5","664ce843-6d58-401b-b81e-47c6ded874dc","Function Calls"
"SAPLMGMM_SCREEN_5030","9304fa03-a87a-4102-9766-10bf383d7d18","MODULE"
"c7c5ee81-3459-4c42-9a18-f39a9d4323e9","3d52f6b4-dc08-4233-937e-e066c3cffb2d","Function Calls"
"588bb568-b481-45df-8aa8-d3493fef9c10","d657b9e8-2917-47c0-8cc4-bc37b9ed83e0","Function Calls"
"38862e8f-d2db-460c-9bf6-0cae6cbf8098","2c4ea790-3ffb-4c7d-83af-e34377b854df","Function Calls"
"eb0abce0-c0a0-4e5e-bc19-ffa0cfbaba62","c3637e3a-f112-43d1-9c68-5013cd43bd02","Function Calls"
